movieId,title,genres,imdbId,tmdbId,title_clean,combined
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,toy story,toy story Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,jumanji,jumanji Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,grumpier old men,grumpier old men Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0,waiting to exhale,waiting to exhale Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy,113041,11862.0,father of the bride part ii,father of the bride part ii Comedy
6,Heat (1995),Action|Crime|Thriller,113277,949.0,heat,heat Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance,114319,11860.0,sabrina,sabrina Comedy|Romance
8,Tom and Huck (1995),Adventure|Children,112302,45325.0,tom and huck,tom and huck Adventure|Children
9,Sudden Death (1995),Action,114576,9091.0,sudden death,sudden death Action
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0,goldeneye,goldeneye Action|Adventure|Thriller
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,american president the,american president the Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0,dracula dead and loving it,dracula dead and loving it Comedy|Horror
13,Balto (1995),Adventure|Animation|Children,112453,21032.0,balto,balto Adventure|Animation|Children
14,Nixon (1995),Drama,113987,10858.0,nixon,nixon Drama
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408.0,cutthroat island,cutthroat island Action|Adventure|Romance
16,Casino (1995),Crime|Drama,112641,524.0,casino,casino Crime|Drama
17,Sense and Sensibility (1995),Drama|Romance,114388,4584.0,sense and sensibility,sense and sensibility Drama|Romance
18,Four Rooms (1995),Comedy,113101,5.0,four rooms,four rooms Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273.0,ace ventura when nature calls,ace ventura when nature calls Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517.0,money train,money train Action|Comedy|Crime|Drama|Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012.0,get shorty,get shorty Comedy|Crime|Thriller
